#{"t_start": 1646496003.4753594, "env_id": "LunarLander-v2"}
r,l,t
-39.471008,221,77.86737
-192.912518,322,78.257328
227.019321,444,78.826897
229.947319,393,79.312245
-1.861156,248,79.587509
248.174554,361,80.011376
-23.366017,291,80.328634
-16.256189,359,80.7751
212.772116,418,81.315123
-266.456733,189,81.520679
-191.482974,216,81.752653
-190.004256,396,82.249892
-38.016926,429,82.885778
-88.961605,268,83.20007
-30.957572,266,83.504069
-79.690819,345,83.928929
-52.384939,232,84.173902
225.726957,447,84.765109
249.166561,431,85.317063
-115.629129,204,85.535659
282.319521,295,85.897646
-17.331108,107,86.002666
-16.340049,97,86.100832
-166.535769,133,86.235763
-49.942133,89,86.323859
-14.618597,106,86.432258
-43.721673,288,86.781509
56.208626,173,86.958477
22.945633,230,87.214906
-38.346333,235,87.464122
15.440415,151,87.616792
6.120678,194,87.817853
-31.200937,162,87.980643
-150.423953,187,88.180764
292.681556,256,88.45265
-132.300789,137,88.592681
-1.092484,189,88.783636
-267.149596,100,88.879636
-19.83778,155,89.034038
208.887759,370,89.463674
-36.052076,214,89.687152
-38.312654,93,89.779948
-28.248589,225,90.023675
-49.252878,191,90.221079
-200.301313,131,90.354902
-28.545487,163,90.519619
-116.975015,88,90.606611
-236.878333,71,90.720307
-41.037425,177,91.004551
249.08516,316,91.414504
-104.036105,227,91.652868
-41.961179,111,91.762585
-320.014449,102,91.861278
-154.514481,165,92.03282
-122.442453,290,92.364831
-71.778567,205,92.570281
181.634121,288,92.891422
-204.960922,83,92.9742
-53.963423,106,93.080949
209.185686,395,93.567645
-57.650809,253,93.843609
-193.084952,82,93.923149
216.200523,278,94.225542
-202.091181,90,94.310467
203.049565,234,94.566782
-23.798102,169,94.743363
-156.643485,75,94.81916
-34.224845,220,95.055528
-29.672237,141,95.201138
6.111893,147,95.349741
41.969332,90,95.439501
-130.463629,146,95.590098
-12.086022,88,95.681892
47.248245,192,95.873613
-257.15252,84,95.956602
25.219213,248,96.218579
-34.518758,163,96.377603
8.390392,221,96.606576
41.802433,116,96.726539
-179.19969,196,96.93005
55.351033,198,97.135648
-31.492263,167,97.312409
20.143784,255,97.59978
-15.768676,148,97.749917
258.37972,308,98.098659
49.30183,144,98.248629
244.384132,405,98.753599
-166.666947,78,98.833726
39.844844,204,99.043242
10.900535,203,99.258809
-30.050582,142,99.403837
7.828311,153,99.559587
240.547352,363,100.021931
-21.482198,294,100.357655
-4.404142,159,100.517875
4.290762,218,100.750867
26.754201,207,100.959882
246.825863,429,101.531663
-5.500963,255,101.802968
-4.693061,182,101.987632
-25.674184,161,102.15573
28.820698,253,102.477516
-30.766617,159,102.639601
-198.011194,224,102.896539
-24.916219,226,103.136898
3.154016,187,103.330373
-35.859114,256,103.623596
221.5077,319,104.016829
39.367863,203,104.234671
36.947433,238,104.483629
256.360337,485,105.018636
-22.302812,235,105.260783
-126.1329,127,105.383611
-44.09626,260,105.65147
198.442358,519,106.3642
10.644873,172,106.533837
11.900736,188,106.728397
-25.467757,171,106.909884
-96.463911,132,107.043591
259.459885,336,107.434637
267.05547,272,107.757832
-167.342673,140,107.90042
-17.024845,291,108.23603
-35.095145,105,108.337758
298.36457,244,108.60671
-175.664583,136,108.74667
