#{"t_start": 1646582168.209853, "env_id": "LunarLander-v2"}
r,l,t
-276.871986,110,4.42742
-156.621869,84,4.44241
-320.010307,70,4.454349
-438.537249,120,4.47632
-130.221653,111,4.494838
-83.002165,62,4.507773
-139.364821,134,4.532706
-110.123488,81,4.547696
-472.588653,129,4.570632
-125.464446,89,4.587088
-130.563651,93,4.603045
-129.931521,64,4.612989
-110.369647,67,4.623959
-187.036602,72,4.63895
-122.195913,79,4.652908
-226.35228,92,4.668864
-320.561878,89,4.684395
-173.943196,69,4.698327
-127.957785,75,4.711292
-267.702175,135,4.737223
-64.93591,65,4.747229
-227.6247,95,4.765179
-84.06442,110,4.784128
-74.030531,83,4.798089
-154.507549,95,4.814046
-57.858965,124,4.836983
-232.305446,75,4.849953
-304.157076,106,4.868872
-126.259396,84,4.881867
-125.933378,74,4.8958
-133.718676,107,4.915776
-221.406211,101,4.933728
-325.929337,98,4.950683
-328.980061,120,4.974614
-220.978916,63,4.984591
-115.006772,104,5.001516
-366.245374,90,5.017504
-385.32524,100,5.03742
-66.416256,108,5.055403
-109.446783,73,5.067341
-178.121857,95,5.083332
-179.165622,56,5.095266
-315.27094,101,5.111254
-130.782395,76,5.124219
-267.902994,69,5.136157
-22.578557,63,5.147153
-236.474458,112,5.166107
-71.314981,118,5.187021
-83.485369,123,5.208992
-132.458409,93,5.226913
-75.294906,85,5.241907
16.708617,72,5.253855
16.594214,124,5.27678
-117.395554,109,5.297724
-76.793039,63,5.307697
-197.813066,67,5.318668
-151.004142,68,5.329638
-74.585933,64,5.341606
-25.960111,101,5.360555
-171.678096,114,5.380532
-320.050855,118,5.401482
-339.129888,109,5.422422
-196.726926,82,5.435378
-71.645019,71,5.447354
-126.916873,87,5.461313
-357.364064,94,5.478241
-103.502756,108,5.496224
-337.806306,95,5.512182
-80.333269,135,5.53908
-240.1438,101,5.558029
-146.083214,75,5.569997
-111.948391,74,5.582965
-168.6274,94,5.599975
-190.649572,65,5.61294
-81.989381,109,5.631916
-114.988811,102,5.648875
-213.085075,110,5.667824
-195.917006,62,5.679788
-288.420529,74,5.692758
-73.875301,58,5.701724
-352.075567,116,5.722672
-215.889957,119,5.74559
-88.854316,82,5.758586
-152.974357,107,5.776524
-358.920281,106,5.797489
-266.241229,111,5.818401
-140.076793,75,5.83039
-68.482822,59,5.840363
-112.347199,104,5.858317
-305.769461,77,5.87328
-304.624982,106,5.891232
-112.800294,54,5.899216
-115.790953,98,5.915174
-364.946757,106,5.937117
-103.783653,74,5.949054
-229.331944,104,5.967038
-319.464029,100,5.982996
-117.22962,70,5.996925
-392.423855,85,6.010913
-295.682711,121,6.032861
-206.471345,114,6.053802
-270.307725,115,6.078706
-361.849776,96,6.09566
24.382734,73,6.107628
-417.199129,113,6.127605
-143.220545,111,6.148549
-72.008741,76,6.161515
-283.38215,91,6.177443
-5.377996,84,6.194422
-316.470575,97,6.212348
-277.757521,109,6.231298
-77.794019,75,6.244293
-224.416163,113,6.265206
-309.937804,87,6.282161
-232.381192,111,6.302113
-111.584982,131,6.326045
-170.845024,108,6.345019
-179.082338,131,6.369959
-104.673968,131,6.393863
-91.795468,67,6.404848
-20.945655,104,6.423782
-410.992467,122,6.447718
-239.194934,100,6.469661
-239.146073,83,6.484646
-148.539653,132,6.509581
-137.566777,75,6.522518
-407.943322,94,6.539473
-148.896127,70,6.552078
-333.979058,81,6.566026
-157.682219,107,6.585973
-93.068652,95,6.600933
-144.152388,120,6.62088
-112.93375,102,6.639829
-167.031498,118,6.663765
-6.193508,83,6.678725
-276.338913,102,6.695711
-488.767296,120,6.716655
-107.069982,84,6.730586
-85.186185,62,6.74056
-79.023839,62,6.750533
-193.248335,109,6.769482
-41.731103,134,6.798366
-102.514368,74,6.810336
-216.585895,118,6.833272
-346.401926,93,6.85023
-75.573676,81,6.864191
-116.2738,77,6.877162
-137.621785,117,6.897098
-121.402557,131,6.922034
-194.510354,93,6.93899
-389.609937,85,6.951956
-100.493425,80,6.965917
29.31154,129,6.989854
-153.894772,93,7.006373
-164.36839,114,7.025296
-111.299919,69,7.03826
-269.826675,73,7.051257
-103.526905,77,7.068181
-125.067738,80,7.084138
-126.671258,95,7.101095
-538.774909,84,7.116055
-311.608972,118,7.137997
-360.427108,98,7.155948
-86.233874,72,7.167916
-318.875869,116,7.190889
-281.722138,76,7.204844
-100.326081,107,7.222805
-341.555236,81,7.236767
-150.719698,65,7.246735
-365.871284,110,7.267678
-326.674502,103,7.285602
-239.022104,78,7.298567
-52.032739,123,7.321543
-123.79677,92,7.337494
-118.471942,74,7.350463
-112.372385,105,7.368414
-118.698197,104,7.387358
-103.362704,64,7.400351
-195.712823,126,7.425294
-113.997775,104,7.442243
-136.72412,120,7.463188
-109.272407,66,7.477144
-87.891991,101,7.494113
-62.900603,62,7.503639
-95.721128,85,7.518602
-326.619934,91,7.536548
-475.10518,118,7.558495
-91.203927,101,7.57745
-343.937568,92,7.594396
-152.131781,73,7.608905
-80.393312,59,7.61788
-63.106605,68,7.629848
-135.1923,126,7.653817
-112.414934,59,7.664783
-549.336687,119,7.687695
-136.020186,99,7.705223
-68.969172,104,7.724204
-301.052821,124,7.74811
-210.37503,116,7.769054
-398.631205,105,7.787005
-96.662849,63,7.797975
-247.821509,71,7.810941
-117.445489,75,7.823906
-282.992164,72,7.836893
-266.028778,68,7.848871
-113.046015,111,7.872809
-175.503186,111,7.892751
-121.640496,88,7.906712
-147.572959,94,7.922643
-146.363657,76,7.936636
-152.28775,123,7.957549
-117.433998,139,7.983515
-287.449511,79,7.997473
-68.87945,64,8.008444
-62.160686,94,8.025396
-252.734,98,8.043362
-111.336954,95,8.060308
-294.376419,100,8.078259
-109.967873,140,8.104188
-307.926725,100,8.122109
-166.947479,65,8.13411
-98.73893,59,8.144081
-75.682701,95,8.162033
-152.712518,100,8.178957
-89.277559,59,8.188931
-328.941174,101,8.208569
-213.436659,70,8.219541
-174.955942,117,8.241514
-165.604638,105,8.259434
-103.205981,83,8.274393
-407.218916,85,8.290377
-91.820043,67,8.302346
-78.232868,61,8.312324
-149.989173,115,8.334233
-353.758151,75,8.346201
-93.356767,58,8.356215
-105.456352,83,8.370138
-262.9098,107,8.390084
-288.504064,91,8.406069
-227.004109,122,8.427012
-158.469045,100,8.443972
-100.182016,106,8.461892
-165.022395,72,8.47386
-117.778823,64,8.484862
-274.24073,115,8.504809
-106.419043,141,8.532729
-242.717776,108,8.551678
-200.677153,67,8.563646
-143.843941,85,8.578614
-123.300596,102,8.596533
-217.187154,101,8.612094
-80.371075,69,8.624062
19.056092,107,8.643011
-158.34617,113,8.664918
-128.823475,95,8.6819
-0.86769,72,8.694839
-150.474822,57,8.704813
-351.41382,130,8.729258
-379.544777,92,8.745246
-140.88182,74,8.756212
-256.377301,126,8.780165
-87.841365,83,8.794083
-243.879492,84,8.808147
-89.267049,83,8.82204
-281.770076,82,8.838026
-243.962348,67,8.850961
-240.458202,101,8.868913
-144.9003,100,8.886869
-437.329176,105,8.905841
-110.898936,113,8.927332
-80.07699,59,8.936308
-140.645286,65,8.947278
-274.531453,70,8.97321
-63.71112,59,8.992158
-139.028129,109,9.023076
-157.074964,90,9.04402
-154.121435,83,9.063967
-456.322023,88,9.087903
-401.084037,81,9.10386
-481.583049,93,9.120816
-213.832656,85,9.135774
-113.973671,102,9.158713
-134.967091,61,9.172677
-339.750787,87,9.191625
-86.410868,60,9.201599
-188.098722,104,9.227143
-453.008061,123,9.254072
-133.754155,94,9.274017
-105.564706,132,9.29895
-116.398413,78,9.313418
-132.666899,94,9.329375
-138.033901,75,9.342341
-359.807165,95,9.359295
-62.877366,61,9.370267
-227.888616,65,9.381237
-372.527097,118,9.403178
-403.931399,102,9.420639
-91.141642,71,9.433604
-202.119946,106,9.45355
-401.656811,50,9.616132
-533.694605,69,9.665001
-698.88306,88,9.735826
-599.372217,79,9.794654
-449.829447,77,9.856489
-971.453396,137,9.963203
-1141.100259,155,10.084878
-594.007747,121,10.173641
-1475.615209,227,10.378093
-594.209728,105,10.451897
-840.921271,149,10.573572
-552.620996,106,10.657347
-521.442036,99,10.73115
-659.515072,94,10.798969
-326.693604,84,10.864792
-454.789945,97,10.938595
-1955.619578,235,11.139069
-1081.470038,153,11.261731
-864.646525,153,11.388399
-418.375577,81,11.449246
-785.510801,172,11.588882
-654.368503,93,11.659829
-666.225473,108,11.745774
-611.323663,81,11.812847
-233.699556,150,11.933881
-608.218293,105,12.016842
-654.694459,97,12.093868
-553.25757,225,12.277868
-454.650237,187,12.432857
-298.883805,130,12.540018
-605.077805,94,12.614853
-476.553564,119,12.702904
-724.256745,102,12.785853
-344.073075,282,13.043843
