#{"t_start": 1645126509.6239378, "env_id": "pong-normal-v0"}
r,l,t
4000,3852,374.00935
4000,1656,374.63829
4000,2707,375.711313
1000,7500,378.627331
4000,2958,379.754987
4000,4129,381.339291
4000,3161,382.547263
4000,2557,383.52823
4000,4039,385.066216
4000,2377,385.976229
4000,2260,386.836297
4000,4808,388.66821
4000,3128,389.86157
4000,6680,392.401369
3500,5073,394.329807
4000,4950,396.212382
4000,4073,397.756314
4000,7009,400.4195
4000,3717,401.830434
1000,7500,404.673348
4000,5554,406.789343
4000,3972,408.305295
3500,1703,408.955305
4000,1374,409.480921
4000,2273,410.346337
4000,4547,412.07832
4000,4339,413.73632
4000,3086,414.980316
4000,3352,416.276297
4000,6127,418.700436
4000,4346,420.429847
4000,6226,422.828426
4000,1340,423.335336
4000,3108,424.514921
4000,6158,426.862298
3500,3697,428.299414
4000,1654,428.947324
4000,1253,429.4263
