#{"t_start": 1646496712.6493132, "env_id": "LunarLander-v2"}
r,l,t
-248.855356,200,27.948174
25.596555,196,28.059168
-69.087867,305,28.248173
36.966775,155,28.331186
-158.066035,270,28.497173
-15.06705,119,28.561194
-57.957572,252,29.506322
-174.338111,256,29.671107
-174.590087,232,29.81412
36.283639,1000,31.128144
-32.816997,290,31.318172
3.992658,118,31.382189
-227.089559,232,32.353179
-51.709666,132,32.430182
-75.890802,226,32.563185
-310.569299,201,32.674183
11.224042,196,32.784454
-175.503978,226,32.915186
-99.325625,270,33.086155
-45.402928,290,33.281001
-92.615144,170,33.373753
-60.160143,218,34.313154
-115.097466,211,34.451195
-29.419333,319,34.670162
-132.946336,262,34.83019
43.116542,1000,36.149167
-22.033414,171,37.042129
-20.877018,149,37.13418
7.749812,111,37.205116
95.936079,1000,38.445147
-44.114017,357,38.687113
95.721186,1000,40.722156
-50.255033,238,40.859171
84.089334,1000,42.248371
67.860822,1000,44.299169
22.428263,187,44.407142
-63.680974,286,44.600199
-32.552872,224,44.731161
108.36301,1000,46.61917
8.039078,186,46.723184
-30.396982,300,46.940201
-35.396987,293,47.128086
-128.285658,397,47.441189
8.22788,243,47.58518
5.367735,227,48.538172
-12.799139,376,48.805147
-6.705058,300,48.997167
-7.695577,304,49.199178
-160.457966,248,49.347175
-5.789529,315,49.568175
-41.717475,251,49.717178
6.677787,218,49.840192
30.203891,1000,51.929162
51.5577,1000,52.889357
6.836492,1000,54.778141
-74.066205,330,55.01019
-44.357994,301,55.199244
-29.889409,1000,57.318168
-116.339425,560,57.897977
77.635635,1000,59.585147
-97.617046,440,60.019081
-56.670618,284,60.2106
-112.758558,575,60.799163
-106.10174,479,61.171017
63.78261,1000,63.060561
48.847637,1000,64.09757
-165.935281,689,65.599549
144.186778,1000,66.510662
-83.550848,439,66.841367
-60.695814,516,68.12273
51.382962,1000,69.748051
18.54844,1000,71.973045
-153.892511,657,72.578763
65.388826,1000,73.755883
-156.978614,610,75.224562
25.924036,1000,76.403558
16.632728,1000,78.577515
72.314029,1000,80.098096
61.741155,1000,82.578599
-88.36745,1000,84.777632
96.417989,1000,87.364579
109.688868,1000,88.461707
90.96953,1000,91.111173
-192.432084,904,92.079571
-104.803056,1000,94.208554
118.029877,1000,95.552684
141.606538,1000,97.585462
219.319267,573,98.150565
-134.667966,794,99.127299
-162.035394,864,100.904514
212.954329,487,101.256708
-140.167151,817,101.929133
33.629107,1000,103.622571
-76.511156,455,104.0397
162.904627,652,104.744575
15.276083,1000,106.55781
195.804679,535,107.050524
195.628565,489,107.454905
78.288252,1000,109.26751
13.460575,383,109.585793
216.977256,390,109.86057
172.077932,537,110.440889
184.832695,496,111.762571
230.088149,476,112.122534
188.024306,562,112.700054
246.287711,414,113.052696
225.138186,470,114.307505
-41.510405,1000,115.434556
189.84283,574,116.058679
-46.42964,339,117.104295
183.870368,629,117.691519
-91.512497,622,118.234895
235.86732,448,118.620628
-94.403928,561,120.09907
251.175851,374,120.351928
-212.743892,743,120.915056
-45.973848,423,121.244158
204.189768,459,122.418594
-9.475704,326,122.647736
-10.608425,273,122.837765
-24.452569,1000,123.716205
-41.569126,400,124.880785
-81.465026,413,125.242588
223.942337,408,125.553544
-45.173983,347,125.801464
-53.526249,472,126.222469
201.850253,453,127.562977
123.435501,789,128.5595
128.226809,750,129.30052
-74.455064,358,130.402958
187.898431,496,130.766679
234.34098,449,131.160563
201.43396,618,131.722226
180.43372,441,132.894346
228.53251,502,133.314748
-12.526398,344,133.549938
196.36888,535,134.01614
200.820786,535,134.526587
164.934714,558,135.904084
-50.896705,458,136.32763
180.164674,578,136.969593
-46.345649,320,137.197591
-59.076506,280,138.200886
102.195348,858,139.279537
-61.293524,244,139.42891
182.205397,591,139.891487
213.56903,492,141.17454
8.623099,1000,142.318555
134.63801,775,143.068631
222.152587,594,144.460498
-103.64607,567,144.912489
206.940305,432,145.252507
184.75869,634,146.751112
184.174703,492,147.244799
181.784772,689,148.058484
-39.182562,292,148.251656
187.502555,520,149.633176
