#{"t_start": 1645662458.9154193, "env_id": "LunarLander-v2"}
r,l,t
-248.855356,200,29.298602
25.596555,196,29.406632
-69.087867,305,29.618793
36.966775,155,29.708768
-158.066035,270,29.931131
-15.06705,119,30.003965
-57.957572,252,30.918175
-174.338111,256,31.068774
-174.590087,232,31.201575
36.283639,1000,32.452613
-32.816997,290,32.64226
3.992658,118,32.708084
-227.089559,232,33.655974
-51.709666,132,33.733715
-75.890802,226,33.858738
-310.569299,201,33.966957
11.224042,196,34.077123
-175.503978,226,34.209571
-99.325625,270,34.392651
-45.402928,290,34.59224
-92.615144,170,34.68599
-60.160143,218,35.60306
-115.097466,211,35.743682
-29.419333,319,35.960939
-132.946336,262,36.113677
43.116542,1000,37.479572
-22.033414,171,38.389443
-20.877018,149,38.479206
7.749812,111,38.543037
95.936079,1000,39.78964
-44.114017,357,40.033586
95.721186,1000,42.171729
-50.255033,238,42.348901
84.089334,1000,43.780925
67.860822,1000,45.907163
22.428263,187,46.013086
-63.680974,286,46.199236
-32.552872,224,46.326298
108.36301,1000,48.087845
8.039078,186,48.187931
-30.396982,300,48.399053
-35.396987,293,48.576723
-128.285658,397,48.872582
8.22788,243,49.009586
5.367735,227,49.873552
-12.799139,376,50.134126
-6.705058,300,50.313639
-7.695577,304,50.50161
-160.457966,248,50.644629
-5.789529,315,50.85763
-41.717475,251,51.001608
6.677787,218,51.120618
30.203891,1000,53.11113
51.5577,1000,54.021616
6.836492,1000,55.77838
-74.066205,330,56.002566
-44.357994,301,56.185582
-29.889409,1000,58.144651
-116.339425,560,58.706591
77.635635,1000,60.355018
-97.617046,440,60.760946
-56.670618,284,60.94758
-112.758558,575,61.524644
-106.10174,479,61.884738
63.78261,1000,63.601017
48.847637,1000,64.604338
-165.935281,689,65.98078
144.186778,1000,66.829582
-83.550848,439,67.14059
-60.695814,516,68.29578
51.382962,1000,69.802651
18.54844,1000,71.848751
-153.892511,657,72.409606
65.388826,1000,73.499608
-156.978614,610,74.817986
25.924036,1000,75.924452
16.632728,1000,77.867403
72.314029,1000,79.283556
61.741155,1000,81.512582
-88.36745,1000,83.390614
96.417989,1000,85.54358
109.688868,1000,86.55765
90.96953,1000,88.825771
-192.432084,904,89.749629
-104.803056,1000,91.679007
118.029877,1000,92.955634
141.606538,1000,94.823571
219.319267,573,95.353976
-134.667966,794,96.274655
-162.035394,864,97.896701
212.954329,487,98.231807
-140.167151,817,98.867279
33.629107,1000,100.423562
-76.511156,455,100.817655
162.904627,652,101.477693
