#{"t_start": 1646494789.3622968, "env_id": "LunarLander-v2"}
r,l,t
-276.871986,110,4.258872
-156.621869,84,4.276825
-320.010307,70,4.288823
-438.537249,120,4.309767
-130.221653,111,4.329682
-83.002165,62,4.340653
-139.364821,134,4.366584
-110.123488,81,4.379549
-472.588653,129,4.403485
-125.464446,89,4.420439
-130.563651,93,4.4354
-129.931521,64,4.446372
-110.369647,67,4.457341
-187.036602,72,4.470307
-122.195913,79,4.483272
-226.35228,92,4.500246
-320.561878,89,4.517191
-173.943196,69,4.529185
-127.957785,75,4.541117
-267.702175,135,4.56608
-64.93591,65,4.576055
-227.6247,95,4.593976
-84.06442,110,4.61492
-74.030531,83,4.62988
-154.507549,95,4.645837
-57.858965,124,4.668776
-232.305446,75,4.681741
-304.157076,106,4.701688
-126.259396,84,4.714653
-125.933378,74,4.728616
-133.718676,107,4.746567
-221.406211,101,4.763522
-325.929337,98,4.780477
-328.980061,120,4.803416
-220.978916,63,4.813389
-115.006772,104,4.830343
-366.245374,90,4.846301
-385.32524,100,4.866248
-66.416256,108,4.885197
-109.446783,73,4.897165
-178.121857,95,4.913122
-179.165622,56,4.922098
-315.27094,101,4.94005
-130.782395,76,4.952018
-267.902994,69,4.964985
-22.578557,63,4.974957
-236.474458,112,4.995901
-71.314981,118,5.015847
-83.485369,123,5.037789
-132.458409,93,5.054744
-75.294906,85,5.070701
16.708617,72,5.082669
16.594214,124,5.10461
-117.395554,109,5.124557
-76.793039,63,5.135527
-197.813066,67,5.146498
-151.004142,68,5.157469
-74.585933,64,5.169437
-25.960111,101,5.188386
-171.678096,114,5.208333
-320.050855,118,5.230274
-339.129888,109,5.250221
-196.726926,82,5.263186
-71.645019,71,5.276152
-126.916873,87,5.297096
-357.364064,94,5.330012
-103.502756,108,5.36392
-337.806306,95,5.390845
-80.333269,135,5.436724
-240.1438,101,5.457671
-146.083214,75,5.477614
-111.948391,74,5.492573
-168.6274,94,5.513518
-190.649572,65,5.532472
-81.989381,109,5.564556
-114.988811,102,5.589489
-213.085075,110,5.616418
-195.917006,62,5.635365
-288.420529,74,5.65383
-73.875301,58,5.668791
-352.075567,116,5.690731
-215.889957,119,5.717658
-88.854316,82,5.733616
-152.974357,107,5.755075
-358.920281,106,5.778014
-266.241229,111,5.800952
-140.076793,75,5.814914
-68.482822,59,5.823891
-112.347199,104,5.840845
-305.769461,77,5.857308
-304.624982,106,5.876258
-112.800294,54,5.888225
-115.790953,98,5.907175
-364.946757,106,5.929116
-103.783653,74,5.942082
-229.331944,104,5.961031
-319.464029,100,5.977985
-117.22962,70,5.991948
-392.423855,85,6.006908
-295.682711,121,6.031841
-206.471345,114,6.060765
-270.307725,115,6.093677
-361.849776,96,6.11163
24.382734,73,6.12659
-417.199129,113,6.148531
-143.220545,111,6.169474
-72.008741,76,6.183455
-283.38215,91,6.201389
-5.377996,84,6.217346
-316.470575,97,6.235298
-277.757521,109,6.256273
-77.794019,75,6.270206
-224.416163,113,6.293143
-309.937804,87,6.319075
-232.381192,111,6.347
-111.584982,131,6.374925
-170.845024,108,6.395908
-179.082338,131,6.424791
-104.673968,131,6.450751
-91.795468,67,6.461694
-20.945655,104,6.480643
-410.992467,122,6.506572
-239.194934,100,6.524524
-239.146073,83,6.538486
-148.539653,132,6.562423
-137.566777,75,6.577385
-407.943322,94,6.594337
-148.896127,70,6.607302
-333.979058,81,6.621265
-157.682219,107,6.641212
