#{"t_start": 1646713807.1949215, "env_id": "LunarLander-v2"}
r,l,t
-209.291622,277,81.598325
-41.229161,293,81.8554
-171.763222,264,82.082026
-15.516744,169,82.198449
-32.293425,338,82.470733
93.676013,1000,85.546961
-67.374006,308,85.814834
-41.715381,229,85.976015
2.687047,367,86.2938
102.610955,1000,89.362676
35.169696,191,89.503915
-25.022498,220,89.657693
-14.674846,169,89.770556
-67.698491,219,89.930493
-71.806932,339,90.223743
-27.114653,297,90.466021
36.954303,277,90.699929
188.945698,1000,93.486151
-54.967847,327,93.766131
-7.775441,291,94.022059
-27.478286,327,94.307191
-151.416122,155,94.411912
3.124656,215,94.56388
-17.520552,226,96.169046
-182.142102,267,96.396572
-181.579838,154,96.501809
-19.321918,316,96.765637
-2.475284,169,96.879336
35.007305,227,97.042948
-34.823922,184,97.174788
-31.724633,226,97.344949
-31.438237,169,97.463175
33.038245,257,99.17856
-175.576219,212,99.338133
-221.978779,385,99.691614
-26.639223,236,99.883698
48.9162,251,100.084761
125.308082,1000,102.872465
-8.079844,197,103.045604
-36.504421,168,103.158303
-36.661304,334,103.45464
-77.591699,278,103.695864
-223.875043,255,103.891565
218.841977,380,104.236464
-36.243843,226,104.403598
-173.619554,160,106.019948
-195.233325,243,106.211613
-72.198985,215,106.377488
-169.121857,216,106.535621
225.600769,949,107.797611
-166.361267,251,108.009296
-150.191665,148,109.61207
-155.759008,227,109.795292
-75.55474,274,110.015249
-23.732147,275,110.228323
-21.452376,387,110.588729
-26.723274,225,110.745379
-33.94378,164,110.862549
-195.84003,206,111.004586
-164.608667,224,111.166742
4.335558,236,112.869985
-54.759712,304,113.133178
-226.143694,335,113.462929
-65.150687,283,113.702007
208.401292,901,116.57227
-182.485297,338,116.902809
-5.222659,161,117.018024
-205.419508,217,117.168017
93.075747,1000,118.294025
138.349323,1000,121.383597
-180.577639,223,121.553172
-42.134854,235,121.730823
-179.250984,247,121.934031
-35.359863,239,122.117089
-31.799588,219,122.279292
-34.040221,230,123.938907
26.598065,163,124.06158
158.122474,1000,125.105579
-178.948808,331,125.377449
80.254337,1000,128.348129
103.418827,1000,129.577328
157.638489,1000,132.445039
47.15177,1000,133.839907
92.997977,1000,137.036441
74.673078,1000,138.43695
-211.750522,227,138.616123
9.145296,172,138.74314
-4.08206,235,138.924598
-73.116182,257,140.7811
-98.847112,488,141.260996
